district,scenario,year,key_insight_1,key_insight_2,key_insight_3
MULUGU,ssp585,2030,Temperature projected to increase by 0.5C by 2030.,Agricultural stress remains Low.,Rainfall change indicates a increase of 3.7%.
NAGARKURNOOL,ssp585,2030,Temperature projected to increase by 0.5C by 2030.,Agricultural stress remains Moderate.,Rainfall change indicates a increase of 1.3%.
NALGONDA,ssp585,2030,Temperature projected to increase by 0.5C by 2030.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
NARAYANPET,ssp585,2030,Temperature projected to increase by 0.5C by 2030.,Agricultural stress remains Low.,Rainfall change indicates a increase of 2.1%.
NIRMAL,ssp585,2030,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 11.1%.
NIZAMABAD,ssp585,2030,Temperature projected to increase by 0.5C by 2030.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
PEDDAPALLI,ssp585,2030,Temperature projected to increase by 0.5C by 2030.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
RAJANNA SIRCILLA,ssp585,2030,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 11.2%.
RANGA REDDY,ssp585,2030,Temperature projected to increase by 0.5C by 2030.,Agricultural stress remains Low.,Rainfall change indicates a increase of 4.2%.
SANGAREDDY,ssp585,2030,Temperature projected to increase by 0.5C by 2030.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
SIDDIPET,ssp585,2030,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 8.8%.
SURYAPET,ssp585,2030,Temperature projected to increase by 0.5C by 2030.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
VIKARABAD,ssp585,2030,Temperature projected to increase by 0.5C by 2030.,Agricultural stress remains Low.,Rainfall change indicates a increase of 4.3%.
WANAPARTHY,ssp585,2030,Agricultural stress remains Low.,Rainfall change indicates a decline of 0.1%.,Overall risk class is Low Risk.
WARANGAL,ssp585,2030,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 6.8%.
YADADRI BHUVANAGIRI,ssp585,2030,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 7.4%.
ARARIA,ssp585,2035,Temperature projected to increase by 1.3C by 2035.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
ARWAL,ssp585,2035,Agricultural stress is projected to rise sharply.,Rainfall change indicates a increase of 3.1%.,Overall risk class is Moderate Risk.
AURANGABAD,ssp585,2035,Temperature projected to increase by 1.1C by 2035.,Agricultural stress is projected to rise sharply.,Rainfall change indicates a increase of 1.6%.
BANKA,ssp585,2035,Agricultural stress is projected to rise sharply.,Rainfall change indicates a increase of 4.3%.,Overall risk class is Moderate Risk.
BEGUSARAI,ssp585,2035,Temperature projected to increase by 1.2C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
BHAGALPUR,ssp585,2035,Temperature projected to increase by 1.3C by 2035.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
BHOJPUR,ssp585,2035,Temperature projected to increase by 1.0C by 2035.,Agricultural stress is projected to rise sharply.,Rainfall change indicates a increase of 2.8%.
BUXAR,ssp585,2035,Agricultural stress is projected to rise sharply.,Rainfall change indicates a increase of 1.6%.,Overall risk class is Moderate Risk.
DARBHANGA,ssp585,2035,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 7.4%.
GAYA,ssp585,2035,Temperature projected to increase by 1.1C by 2035.,Agricultural stress is projected to rise sharply.,Rainfall change indicates a increase of 3.1%.
GOPALGANJ,ssp585,2035,Temperature projected to increase by 1.1C by 2035.,Agricultural stress is projected to rise sharply.,Rainfall change indicates a increase of 2.9%.
JAMUI,ssp585,2035,Temperature projected to increase by 1.2C by 2035.,Agricultural stress is projected to rise sharply.,Rainfall change indicates a increase of 4.7%.
JEHANABAD,ssp585,2035,Agricultural stress is projected to rise sharply.,Rainfall change indicates a increase of 4.4%.,Overall risk class is Moderate Risk.
KAIMUR (BHABUA),ssp585,2035,Agricultural stress is projected to rise sharply.,Rainfall change indicates a increase of 0.6%.,Overall risk class is Moderate Risk.
KATIHAR,ssp585,2035,Temperature projected to increase by 1.3C by 2035.,Agricultural stress is projected to rise sharply.,Rainfall change indicates a increase of 4.3%.
KHAGARIA,ssp585,2035,Temperature projected to increase by 1.2C by 2035.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
KISHANGANJ,ssp585,2035,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 6.5%.
LAKHISARAI,ssp585,2035,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 6.9%.
MADHEPURA,ssp585,2035,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 6.4%.
MADHUBANI,ssp585,2035,Temperature projected to increase by 1.1C by 2035.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
MUNGER,ssp585,2035,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 6.2%.
MUZAFFARPUR,ssp585,2035,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 5.9%.
NALANDA,ssp585,2035,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 6.6%.
NAWADA,ssp585,2035,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 5.1%.
PASHCHIM CHAMPARAN,ssp585,2035,Temperature projected to increase by 1.1C by 2035.,Agricultural stress is projected to rise sharply.,Rainfall change indicates a increase of 4.6%.
PATNA,ssp585,2035,Temperature projected to increase by 1.1C by 2035.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
PURBA CHAMPARAN,ssp585,2035,Temperature projected to increase by 1.1C by 2035.,Agricultural stress is projected to rise sharply.,Rainfall change indicates a increase of 4.3%.
PURNIA,ssp585,2035,Temperature projected to increase by 1.3C by 2035.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
ROHTAS,ssp585,2035,Agricultural stress is projected to rise sharply.,Rainfall change indicates a increase of 1.1%.,Overall risk class is Moderate Risk.
SAHARSA,ssp585,2035,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 7.0%.
SAMASTIPUR,ssp585,2035,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 7.2%.
SARAN,ssp585,2035,Agricultural stress remains Low.,Rainfall change indicates a increase of 3.9%.,Overall risk class is Moderate Risk.
SHEIKHPURA,ssp585,2035,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 7.1%.
SHEOHAR,ssp585,2035,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 5.4%.
SITAMARHI,ssp585,2035,Temperature projected to increase by 1.2C by 2035.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
SIWAN,ssp585,2035,Agricultural stress is projected to rise sharply.,Rainfall change indicates a increase of 2.6%.,Overall risk class is Moderate Risk.
SUPAUL,ssp585,2035,Temperature projected to increase by 1.1C by 2035.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
VAISHALI,ssp585,2035,Temperature projected to increase by 1.1C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
AHILYANAGAR,ssp585,2035,Temperature projected to increase by 1.0C by 2035.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
AKOLA,ssp585,2035,Temperature projected to increase by 1.0C by 2035.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
AMRAVATI,ssp585,2035,Temperature projected to increase by 1.0C by 2035.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
BEED,ssp585,2035,Agricultural stress is projected to rise sharply.,Rainfall change indicates a increase of 4.9%.,Overall risk class is Moderate Risk.
BHANDARA,ssp585,2035,Temperature projected to increase by 1.0C by 2035.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
BULDHANA,ssp585,2035,Temperature projected to increase by 1.0C by 2035.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
CHANDRAPUR,ssp585,2035,Temperature projected to increase by 1.0C by 2035.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
CHHATRAPATI SAMBHAJI NAGAR,ssp585,2035,Temperature projected to increase by 1.0C by 2035.,Agricultural stress is projected to rise sharply.,Rainfall change indicates a increase of 4.3%.
DHARASHIV,ssp585,2035,Temperature projected to increase by 0.9C by 2035.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
DHULE,ssp585,2035,Temperature projected to increase by 1.0C by 2035.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
GADCHIROLI,ssp585,2035,Temperature projected to increase by 1.1C by 2035.,Agricultural stress is projected to rise sharply.,Rainfall change indicates a increase of 4.2%.
GONDIA,ssp585,2035,Temperature projected to increase by 1.0C by 2035.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
HINGOLI,ssp585,2035,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 5.8%.
JALGAON,ssp585,2035,Temperature projected to increase by 1.1C by 2035.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
JALNA,ssp585,2035,Temperature projected to increase by 1.0C by 2035.,Agricultural stress is projected to rise sharply.,Rainfall change indicates a increase of 3.7%.
KOLHAPUR,ssp585,2035,Temperature projected to increase by 1.0C by 2035.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
LATUR,ssp585,2035,Temperature projected to increase by 0.9C by 2035.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
MUMBAI,ssp585,2035,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 5.6%.
MUMBAI SUBURBAN,ssp585,2035,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 6.2%.
NAGPUR,ssp585,2035,Temperature projected to increase by 1.0C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
NANDED,ssp585,2035,Temperature projected to increase by 1.0C by 2035.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
NANDURBAR,ssp585,2035,Temperature projected to increase by 1.0C by 2035.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
NASHIK,ssp585,2035,Temperature projected to increase by 1.0C by 2035.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
PALGHAR,ssp585,2035,Temperature projected to increase by 1.1C by 2035.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
PARBHANI,ssp585,2035,Temperature projected to increase by 1.0C by 2035.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
PUNE,ssp585,2035,Temperature projected to increase by 1.1C by 2035.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
RAIGAD,ssp585,2035,Temperature projected to increase by 1.1C by 2035.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
RATNAGIRI,ssp585,2035,Temperature projected to increase by 1.1C by 2035.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
SANGLI,ssp585,2035,Temperature projected to increase by 1.0C by 2035.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
SATARA,ssp585,2035,Temperature projected to increase by 1.1C by 2035.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
SINDHUDURG,ssp585,2035,Temperature projected to increase by 1.1C by 2035.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
SOLAPUR,ssp585,2035,Temperature projected to increase by 1.0C by 2035.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
THANE,ssp585,2035,Temperature projected to increase by 1.1C by 2035.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
WARDHA,ssp585,2035,Temperature projected to increase by 1.0C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
WASHIM,ssp585,2035,Temperature projected to increase by 1.0C by 2035.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
YAVATMAL,ssp585,2035,Temperature projected to increase by 1.0C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
ADILABAD,ssp585,2035,Temperature projected to increase by 0.9C by 2035.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
BHADRADRI KOTHAGUDEM,ssp585,2035,Temperature projected to increase by 1.0C by 2035.,Agricultural stress is projected to rise sharply.,Rainfall change indicates a increase of 4.2%.
HANUMAKONDA,ssp585,2035,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 9.2%.
HYDERABAD,ssp585,2035,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 6.8%.
JAGTIAL,ssp585,2035,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 11.1%.
JANGAON,ssp585,2035,Temperature projected to increase by 1.0C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
JAYASHANKAR BHUPALPALLI,ssp585,2035,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 6.4%.
JOGULAMBA GADWAL,ssp585,2035,Agricultural stress is projected to rise sharply.,Rainfall change indicates a increase of 0.9%.,Overall risk class is Moderate Risk.
KAMAREDDY,ssp585,2035,Temperature projected to increase by 1.0C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
KARIMNAGAR,ssp585,2035,Temperature projected to increase by 0.9C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
KHAMMAM,ssp585,2035,Temperature projected to increase by 1.0C by 2035.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
KUMURAM BHEEM,ssp585,2035,Temperature projected to increase by 1.0C by 2035.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
MAHABUBABAD,ssp585,2035,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 7.5%.
MAHBUBNAGAR,ssp585,2035,Agricultural stress remains Low.,Rainfall change indicates a increase of 3.1%.,Overall risk class is Low Risk.
MANCHERIAL,ssp585,2035,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 7.4%.
MEDAK,ssp585,2035,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 10.7%.
MEDCHAL-MALKAJGIRI,ssp585,2035,Temperature projected to increase by 1.0C by 2035.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
MULUGU,ssp585,2035,Temperature projected to increase by 1.0C by 2035.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
NAGARKURNOOL,ssp585,2035,Temperature projected to increase by 1.0C by 2035.,Agricultural stress is projected to rise sharply.,Rainfall change indicates a increase of 2.5%.
NALGONDA,ssp585,2035,Temperature projected to increase by 1.0C by 2035.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
NARAYANPET,ssp585,2035,Temperature projected to increase by 1.0C by 2035.,Agricultural stress is projected to rise sharply.,Rainfall change indicates a increase of 3.3%.
NIRMAL,ssp585,2035,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 12.5%.
NIZAMABAD,ssp585,2035,Temperature projected to increase by 1.0C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
PEDDAPALLI,ssp585,2035,Temperature projected to increase by 0.9C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
RAJANNA SIRCILLA,ssp585,2035,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 12.6%.
RANGA REDDY,ssp585,2035,Temperature projected to increase by 1.0C by 2035.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
SANGAREDDY,ssp585,2035,Temperature projected to increase by 1.0C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
SIDDIPET,ssp585,2035,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 10.2%.
SURYAPET,ssp585,2035,Temperature projected to increase by 1.0C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
VIKARABAD,ssp585,2035,Temperature projected to increase by 1.0C by 2035.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
WANAPARTHY,ssp585,2035,Agricultural stress is projected to rise sharply.,Rainfall change indicates a increase of 1.1%.,Overall risk class is Moderate Risk.
WARANGAL,ssp585,2035,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 8.1%.
YADADRI BHUVANAGIRI,ssp585,2035,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 8.7%.
ARARIA,ssp585,2040,Temperature projected to increase by 1.7C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
ARWAL,ssp585,2040,Agricultural stress is projected to rise sharply.,Rainfall change indicates a increase of 4.4%.,Overall risk class is Moderate Risk.
AURANGABAD,ssp585,2040,Temperature projected to increase by 1.5C by 2040.,Agricultural stress is projected to rise sharply.,Rainfall change indicates a increase of 2.8%.
BANKA,ssp585,2040,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 5.5%.
BEGUSARAI,ssp585,2040,Temperature projected to increase by 1.7C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
BHAGALPUR,ssp585,2040,Temperature projected to increase by 1.8C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
BHOJPUR,ssp585,2040,Temperature projected to increase by 1.5C by 2040.,Agricultural stress is projected to rise sharply.,Rainfall change indicates a increase of 4.1%.
BUXAR,ssp585,2040,Agricultural stress is projected to rise sharply.,Rainfall change indicates a increase of 2.8%.,Overall risk class is High Risk.
DARBHANGA,ssp585,2040,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 8.7%.
GAYA,ssp585,2040,Temperature projected to increase by 1.5C by 2040.,Agricultural stress is projected to rise sharply.,Rainfall change indicates a increase of 4.4%.
GOPALGANJ,ssp585,2040,Temperature projected to increase by 1.5C by 2040.,Agricultural stress is projected to rise sharply.,Rainfall change indicates a increase of 4.1%.
JAMUI,ssp585,2040,Temperature projected to increase by 1.7C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
JEHANABAD,ssp585,2040,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 5.7%.
KAIMUR (BHABUA),ssp585,2040,Agricultural stress is projected to rise sharply.,Rainfall change indicates a increase of 1.9%.,Overall risk class is Moderate Risk.
KATIHAR,ssp585,2040,Temperature projected to increase by 1.8C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
KHAGARIA,ssp585,2040,Temperature projected to increase by 1.7C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
KISHANGANJ,ssp585,2040,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 7.8%.
LAKHISARAI,ssp585,2040,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 8.2%.
MADHEPURA,ssp585,2040,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 7.7%.
MADHUBANI,ssp585,2040,Temperature projected to increase by 1.6C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
MUNGER,ssp585,2040,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 7.5%.
MUZAFFARPUR,ssp585,2040,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 7.2%.
NALANDA,ssp585,2040,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 7.9%.
NAWADA,ssp585,2040,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 6.3%.
PASHCHIM CHAMPARAN,ssp585,2040,Temperature projected to increase by 1.6C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
PATNA,ssp585,2040,Temperature projected to increase by 1.5C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
PURBA CHAMPARAN,ssp585,2040,Temperature projected to increase by 1.5C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
PURNIA,ssp585,2040,Temperature projected to increase by 1.8C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
ROHTAS,ssp585,2040,Agricultural stress is projected to rise sharply.,Rainfall change indicates a increase of 2.3%.,Overall risk class is Moderate Risk.
SAHARSA,ssp585,2040,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 8.3%.
SAMASTIPUR,ssp585,2040,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 8.5%.
SARAN,ssp585,2040,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 5.2%.
SHEIKHPURA,ssp585,2040,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 8.4%.
SHEOHAR,ssp585,2040,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 6.7%.
SITAMARHI,ssp585,2040,Temperature projected to increase by 1.6C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
SIWAN,ssp585,2040,Agricultural stress is projected to rise sharply.,Rainfall change indicates a increase of 3.9%.,Overall risk class is High Risk.
SUPAUL,ssp585,2040,Temperature projected to increase by 1.6C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
VAISHALI,ssp585,2040,Temperature projected to increase by 1.5C by 2040.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
AHILYANAGAR,ssp585,2040,Temperature projected to increase by 1.4C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
AKOLA,ssp585,2040,Temperature projected to increase by 1.5C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
AMRAVATI,ssp585,2040,Temperature projected to increase by 1.5C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
BEED,ssp585,2040,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 6.2%.
BHANDARA,ssp585,2040,Temperature projected to increase by 1.5C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
BULDHANA,ssp585,2040,Temperature projected to increase by 1.5C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
CHANDRAPUR,ssp585,2040,Temperature projected to increase by 1.4C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
CHHATRAPATI SAMBHAJI NAGAR,ssp585,2040,Temperature projected to increase by 1.5C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
DHARASHIV,ssp585,2040,Temperature projected to increase by 1.4C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
DHULE,ssp585,2040,Temperature projected to increase by 1.4C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
GADCHIROLI,ssp585,2040,Temperature projected to increase by 1.5C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
GONDIA,ssp585,2040,Temperature projected to increase by 1.5C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
HINGOLI,ssp585,2040,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 7.1%.
JALGAON,ssp585,2040,Temperature projected to increase by 1.5C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
JALNA,ssp585,2040,Temperature projected to increase by 1.5C by 2040.,Agricultural stress is projected to rise sharply.,Rainfall change indicates a increase of 5.0%.
KOLHAPUR,ssp585,2040,Temperature projected to increase by 1.5C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
LATUR,ssp585,2040,Temperature projected to increase by 1.4C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
MUMBAI,ssp585,2040,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 6.9%.
MUMBAI SUBURBAN,ssp585,2040,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 7.5%.
NAGPUR,ssp585,2040,Temperature projected to increase by 1.4C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
NANDED,ssp585,2040,Temperature projected to increase by 1.4C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
NANDURBAR,ssp585,2040,Temperature projected to increase by 1.4C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
NASHIK,ssp585,2040,Temperature projected to increase by 1.5C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
PALGHAR,ssp585,2040,Temperature projected to increase by 1.5C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
PARBHANI,ssp585,2040,Temperature projected to increase by 1.5C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
PUNE,ssp585,2040,Temperature projected to increase by 1.5C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
RAIGAD,ssp585,2040,Temperature projected to increase by 1.5C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
RATNAGIRI,ssp585,2040,Temperature projected to increase by 1.5C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
SANGLI,ssp585,2040,Temperature projected to increase by 1.5C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
SATARA,ssp585,2040,Temperature projected to increase by 1.5C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
SINDHUDURG,ssp585,2040,Temperature projected to increase by 1.5C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
SOLAPUR,ssp585,2040,Temperature projected to increase by 1.4C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
THANE,ssp585,2040,Temperature projected to increase by 1.5C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
WARDHA,ssp585,2040,Temperature projected to increase by 1.4C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
WASHIM,ssp585,2040,Temperature projected to increase by 1.5C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
